source: https://buecker.baseball.cbssports.com/transactions?print_rows=9999
captured: 2026-08-03T10:29:28
---
DATE|TEAM|PLAYERS|EFFECTIVE|COST
4/7/26 7:34 PM ET|Like a Nightmare|Cade Horton P • CHC - Dropped|4/13/26|$0.00
4/7/26 4:56 PM ET|Simba's Dublin Green Sox|James Tibbs OF • LAD - Added; Daulton Varsho OF • TOR - Dropped|4/13/26|$2.50
4/7/26 5:13 AM ET|Simba's Dublin Green Sox|Luis Garcia 1B,2B • NYY - Added; Jordan Beck OF • COL - Dropped|4/13/26|$2.50
4/6/26 10:00 AM ET|Maga Doge|Bryce Elder P • ATL - Added; Dustin May P • STL - Dropped|4/6/26|$2.50
4/6/26 9:14 AM ET|Rieken Havoc|Mark Leiter P • ATH - Added; Carlos Estevez P • KC - Moved to IR|4/6/26|$2.50
4/6/26 8:45 AM ET|Dawg|Tomoyuki Sugano P • COL - Added; Evan Carter OF • TEX - Dropped|4/6/26|$2.50
4/6/26 1:49 AM ET|Trex|Justin Crawford OF • PHI - Added off Waivers; Denzel Clarke OF • ATH - Dropped|4/6/26|$2.50
4/5/26 11:26 PM ET|Trex|Reid Detmers P • LAA - Added|4/6/26|$2.50
4/5/26 11:13 PM ET|Trex|Cade Cavalli P • WAS - Added; Bailey Ober P • MIN - Dropped|4/6/26|$2.50
4/5/26 10:23 PM ET|Young Guns|TJ Rumfield 1B • COL - Added|4/6/26|$2.50
4/5/26 7:39 PM ET|Dawg|Clay Holmes P • NYM - Added; Jacob Lopez P • ATH - Dropped|4/6/26|$2.50
4/5/26 7:29 PM ET|Gashouse Gang|Ben Brown P • CHC - Added; Chris Bassitt P • BAL - Dropped|4/6/26|$2.50
4/5/26 5:09 PM ET|Guillotine|Will Warren P • NYY - Added; Matt Strahm P • KC - Dropped|4/6/26|$2.50
4/5/26 4:22 PM ET|Big Sticks|Ryan O'Hearn 1B,OF • PIT - Added; Victor Scott II OF • STL - Dropped|4/6/26|$2.50
4/5/26 1:48 PM ET|Big Sticks|Rhett Lowder P • CIN - Added; Hunter Brown P • HOU - Moved to IR|4/6/26|$2.50
4/5/26 7:13 AM ET|Guillotine|Cam Smith OF • HOU - Added; Noelvi Marte 3B,OF • CIN - Dropped|4/6/26|$2.50
4/4/26 3:08 PM ET|Big Sticks|Jack Flaherty P • DET - Dropped|4/6/26|$0.00
4/4/26 12:49 PM ET|Dawg|Andrew Vaughn 1B • MIL - Dropped|4/6/26|$0.00
4/4/26 12:46 PM ET|Dawg|Dillon Dingler C • DET - Added|4/6/26|$2.50
4/4/26 10:52 AM ET|Young Guns|Lance McCullers P • MIL - Added; Cristian Javier P • HOU - Dropped|4/6/26|$2.50
4/4/26 10:30 AM ET|Maga Doge|Taj Bradley P • MIN - Added; Justin Crawford OF • PHI - Dropped|4/6/26|$2.50
4/4/26 9:03 AM ET|Trex|Ryne Stanek P • STL - Dropped|4/6/26|$0.00
4/3/26 9:01 PM ET|Long Balls|Owen Caissie OF • MIA - Added|4/6/26|$2.50
4/3/26 6:52 PM ET|Gashouse Gang|Bryan King P • HOU - Added; Garrett Cleavinger P • TB - Moved to IR|4/6/26|$2.50
4/3/26 6:52 PM ET|Young Guns|Gregory Soto P • PIT - Added|4/6/26|$2.50
4/3/26 3:05 AM ET|Like a Nightmare|Bryan Baker P • TB - Added; Luis Severino P • ATH - Dropped|4/6/26|$2.50
4/3/26 1:58 AM ET|Big Sticks|Nathan Eovaldi P • TEX - Added off Waivers; Yusei Kikuchi P • LAA - Dropped|4/6/26|$2.50
4/2/26 12:12 PM ET|Guillotine|Seth Lugo P • KC - Added; Cody Ponce P • TOR - Moved to IR|4/6/26|$2.50
4/1/26 10:27 PM ET|Long Balls|Kevin Ginkel P • ARI - Dropped|4/6/26|$0.00
4/1/26 10:27 PM ET|Long Balls|Liam Hicks C,1B • MIA - Added|4/6/26|$2.50
4/1/26 8:50 PM ET|Magnum GI|Jake Bauers 1B,OF • MIL - Added; Dominic Canzone OF • SEA - Dropped|4/6/26|$2.50
4/1/26 4:37 PM ET|Magnum GI|Randy Vasquez P • SD - Added; Nathan Eovaldi P • TEX - Dropped|4/6/26|$2.50
4/1/26 12:47 AM ET|Like a Nightmare|Miguel Vargas 1B,3B • CHW - Added; Caleb Durbin 3B • BOS - Dropped|4/6/26|$2.50
3/31/26 12:47 AM ET|Simba's Dublin Green Sox|Jordan Walker OF • STL - Added; Dylan Beavers OF • BAL - Dropped|4/6/26|$2.50
3/30/26 10:41 PM ET|Long Balls|Kyle Harrison P • MIL - Added|4/6/26|$2.50
3/30/26 2:07 PM ET|Runtime Terror|Joe Boyle P • TB - Added; Yainer Diaz C • HOU - Dropped|3/30/26|$2.50
3/30/26 1:55 PM ET|Rieken Havoc|Emerson Hancock P • SEA - Added; Quinn Mathews P • STL - Sent to Minors|3/30/26|$2.50
3/29/26 11:43 PM ET|Magnum GI|Dominic Canzone OF • SEA - Added|3/30/26|$2.50
3/29/26 11:39 PM ET|Magnum GI|Gabriel Moreno C • ARI - Dropped|3/30/26|$0.00
3/29/26 10:32 PM ET|Guillotine|Luis Arraez 1B,2B • SF - Added; Will Vest P • DET - Dropped|3/30/26|$2.50
3/29/26 3:24 PM ET|Big Sticks|Jose Soriano P • TOR - Added; Taylor Rogers P • MIN - Dropped|3/30/26|$2.50
3/29/26 10:09 AM ET|Dawg|Brandon Marsh OF • PHI - Added|3/30/26|$2.50
3/29/26 9:55 AM ET|Dawg|Jacob Lopez P • ATH - Added|3/30/26|$2.50
3/29/26 9:47 AM ET|Dawg|Evan Carter OF • TEX - Added|3/30/26|$2.50
3/29/26 7:43 AM ET|Trex|Colt Keith 2B,3B • DET - Added|3/30/26|$2.50
3/29/26 7:29 AM ET|Trex|Denzel Clarke OF • ATH - Added|3/30/26|$2.50
3/29/26 6:34 AM ET|Big Sticks|Cole Sands P • MIN - Added; Josh Hader P • HOU - Moved to IR|3/30/26|$2.50
3/29/26 5:53 AM ET|Simba's Dublin Green Sox|Michael Wacha P • KC - Added; Luis Garcia 1B,2B • NYY - Dropped|3/30/26|$2.50
3/29/26 3:21 AM ET|Simba's Dublin Green Sox|Dylan Beavers OF • BAL - Added; Dylan Moore 2B,OF • PHI - Dropped|3/30/26|$2.50
3/29/26 2:42 AM ET|Simba's Dublin Green Sox|Mike Soroka P • ARI - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Guillotine|Jameson Taillon P • TOR - Added off Waivers; Ryan Pepiot P • TB - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Simba's Dublin Green Sox|Mike Soroka P • ARI - Added off Waivers; Merrill Kelly P • ARI - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Young Guns|Cristian Javier P • HOU - Added off Waivers; Payton Tolle P • BOS - Sent to Minors|3/30/26|$2.50
3/29/26 2:42 AM ET|Trex|Parker Messick P • CLE - Added off Waivers|3/30/26|$2.50
3/29/26 2:42 AM ET|Guillotine|Matt Strahm P • KC - Added off Waivers; Justin Steele P • CHC - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Young Guns|Victor Vodnik P • COL - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Simba's Dublin Green Sox|Jordan Beck OF • COL - Added off Waivers; Kyle Stowers 1B,OF • MIA - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Young Guns|Victor Vodnik P • COL - Added off Waivers; Gerrit Cole P • NYY - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Trex|Ryne Stanek P • STL - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Like a Nightmare|Matt Wallner OF • MIN - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Trex|Ryne Stanek P • STL - Added off Waivers; Kirby Yates P • LAA - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Maga Doge|Jordan Romano P • COL - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Like a Nightmare|Matt Wallner OF • MIN - Added off Waivers; Dylan Crews OF • WAS - Sent to Minors|3/30/26|$2.50
3/29/26 2:42 AM ET|Maga Doge|Jordan Romano P • COL - Added off Waivers; Trey Yesavage P • TOR - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Guillotine|Nolan Schanuel 1B • LAA - Added off Waivers; Jackson Chourio OF • MIL - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Rieken Havoc|Mick Abel P • MIN - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Rieken Havoc|Mick Abel P • MIN - Added off Waivers; Hunter Greene P • CIN - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Simba's Dublin Green Sox|Michael McGreevy P • STL - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Young Guns|Clayton Beeter P • WAS - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Simba's Dublin Green Sox|Michael McGreevy P • STL - Added off Waivers; Joe Musgrove P • SD - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Young Guns|Clayton Beeter P • WAS - Added off Waivers; Shane Bieber P • TOR - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Magnum GI|Cole Young 2B • SEA - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Magnum GI|Cole Young 2B • SEA - Added off Waivers; Tyler Fitzgerald 2B • LAD - Sent to Minors|3/30/26|$2.50
3/29/26 2:42 AM ET|Trex|Bailey Ober P • MIN - Added off Waivers|3/30/26|$2.50
3/29/26 2:42 AM ET|Like a Nightmare|Lucas Erceg P • KC - Added off Waivers; Bryce Miller P • SEA - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Big Sticks|Ezequiel Tovar SS • COL - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Big Sticks|Ezequiel Tovar SS • COL - Added off Waivers; Mickey Moniak OF • COL - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Maga Doge|Carson Benge OF • NYM - Added off Waivers; Spencer Steer 1B,OF • CIN - Dropped|3/30/26|$2.50
3/29/26 2:42 AM ET|Guillotine|Cody Ponce P • TOR - Activated|3/30/26|$0.00
3/29/26 2:42 AM ET|Guillotine|Cody Ponce P • TOR - Added off Waivers; Nick Lodolo P • CIN - Moved to IR|3/30/26|$2.50
3/29/26 2:42 AM ET|Rieken Havoc|Chase DeLauter OF • CLE - Added off Waivers; Edwin Uceta P • TB - Moved to IR|3/30/26|$2.50
3/27/26 10:30 PM ET|Runtime Terror|Will Smith C • LAD - Traded from Simba's Dublin Green Sox|3/30/26|$2.50
3/27/26 10:30 PM ET|Simba's Dublin Green Sox|Matthew Liberatore P • STL - Traded from Runtime Terror|3/30/26|$2.50
